categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori_split
Scarpe Sportive,40.0,uomo,PUMA,SOFTRIDE ENZO 5  - Scarpe da allenamento - black white,75.0,75.0,https://www.zalando.it/puma-softride-enzo-5-scarpe-da-allenamento-black-white-pu144a0cn-q12.html?size=40,SOFTRIDE ENZO 5,scarpe da allenamento,black white
Scarpe Sportive,40.0,uomo,UNDER ARMOUR,INFINITE PRO 2 - Scarpe da camminata - silica green,130.0,130.0,https://www.zalando.it/under-armour-scarpe-da-camminata-silica-green-un242a0ou-m11.html?size=40,INFINITE PRO 2,scarpe da camminata,silica green
Scarpe Sportive,40.0,uomo,ASICS,GEL-PULSE 16 - Scarpe da corsa su strada - indigo blue/blue coast,109.95,109.95,https://www.zalando.it/asics-scarpe-da-trail-running-indigo-blueblue-coast-as142a17s-k11.html?size=40,GEL pulse 16,scarpe da corsa su strada,indigo blue/blue coast
Scarpe Sportive,40.0,uomo,ASICS,GT-2000 12 GTX - Scarpe da corsa su strada - blue expanse/safety yellow,169.95,169.95,https://www.zalando.it/asics-scarpe-da-corsa-stabili-blue-expansesafety-yellow-as142a16d-k11.html?size=40,GT 2000 12 gtx,scarpe da corsa su strada,blue expanse/safety yellow
Scarpe Sportive,40.0,uomo,UNDER ARMOUR,JET '23 - Scarpe da basket - black,67.99,84.99,https://www.zalando.it/under-armour-scarpe-da-basket-black-un242a0lg-q12.html?size=40,JET '23,scarpe da basket,black
Scarpe Sportive,40.0,uomo,UNDER ARMOUR,INFINITE - Scarpe da corsa su strada - black/white,99.99,99.99,https://www.zalando.it/under-armour-infinite-scarpe-running-neutre-blackwhite-un242a0mg-q11.html?size=40,INFINITE,scarpe da corsa su strada,black/white
Scarpe Sportive,40.0,uomo,PUMA,ATTACANTO - Scarpe da calcetto con tacchetti - black blue,49.5,55.0,https://www.zalando.it/puma-attacanto-scarpe-da-calcetto-con-tacchetti-black-blue-pu112p01u-q11.html?size=40,ATTACANTO,scarpe da calcetto con tacchetti,black blue
Scarpe Sportive,40.0,uomo,NEW BALANCE,FRESH FOAM 680 V8 - Scarpe da corsa su strada - black blue agate,115.0,115.0,https://www.zalando.it/new-balance-fresh-foam-scarpe-running-neutre-black-blue-agate-ne242a0me-q13.html?size=40,FRESH FOAM 680 V8,scarpe da corsa su strada,black blue agate
Scarpe Sportive,40.0,uomo,ASICS,GEL-CHALLENGER 14 - Scarpe da tennis per tutte le superfici - white/saxon green,101.99,119.99,https://www.zalando.it/asics-gel-challenger-14-scarpe-da-tennis-per-tutte-le-superfici-whitesaxon-green-as142a10b-a13.html?size=40,GEL challenger 14,scarpe da tennis per tutte le superfici,white/saxon green
Scarpe Sportive,40.0,uomo,NEW BALANCE,FRESH FOAM X EVOZ V4 - Scarpe da corsa su strada - black,129.99,129.99,https://www.zalando.it/new-balance-fresh-foam-x-evoz-v4-scarpe-da-corsa-su-strada-black-ne242a0of-q11.html?size=40,FRESH FOAM X EVOZ V4,scarpe da corsa su strada,black
Scarpe Sportive,40.0,uomo,ASICS,GEL-EXCITE 10 - Scarpe da corsa su strada - indigo fog/illusion blue,89.99,89.99,https://www.zalando.it/asics-gel-excite-10-scarpe-da-corsa-su-strada-indigo-fogillusion-blue-as142a112-k14.html?size=40,GEL excite 10,scarpe da corsa su strada,indigo fog/illusion blue
Scarpe Sportive,40.0,uomo,PUMA GOLF,IGNITE ELEVATE 25 X - Scarpe da golf - white black safety yellow,160.0,160.0,https://www.zalando.it/puma-golf-scarpe-da-golf-white-black-safety-yellow-pu542a041-a12.html?size=40,IGNITE ELEVATE 25 X,scarpe da golf,white black safety yellow
Scarpe Sportive,40.0,uomo,ASICS,GT-2000 13 - Scarpe da corsa su strada - midnight/black,159.99,159.99,https://www.zalando.it/asics-gt-2000-13-scarpe-da-corsa-su-strada-midnightblack-as142a16c-k11.html?size=40,GT 2000 13,scarpe da corsa su strada,midnight/black
Scarpe Sportive,40.0,uomo,PUMA,REFLECT LITE - Scarpe da trail running - black/cool dark gray/silver,55.95,70.0,https://www.zalando.it/puma-reflect-lite-unisex-scarpe-da-trail-running-blackcool-dark-graysilver-pu144a0bo-q11.html?size=40,REFLECT LITE,scarpe da trail running,black/cool dark gray/silver
